"","local","corte","gen","block","peso"
"269","AC","4","PM32","3",1063.34543055097
"270","AC","4","PM37","3",1015.07764251937
"271","AC","4","PM42","3",1152.06431842894
"272","AC","4","PM33","3",1033.10415075121
"273","AC","4","MOMB","3",958.726816052998
"274","AC","4","PM34","3",743.938756352572
"275","AC","4","PM41","3",1062.80308991272
"276","AC","4","ARUA","3",861.841472336952
"277","AC","5","PM30","1",751.399274357681
"278","AC","5","PM31","1",920.584103753553
"279","AC","5","PM32","1",928.770307945952
"280","AC","5","PM33","1",974.335364386405
"281","AC","5","MOMB","1",861.890917348581
"282","AC","5","PM34","1",797.297998142755
"283","AC","5","PM35","1",761.578743168736
"284","AC","5","PM36","1",1302.80294983546
"285","AC","5","PM37","1",731.267739394136
"286","AC","5","TANZ","1",654.824204994854
"287","AC","5","PM38","1",859.513761353238
"288","AC","5","PM39","1",914.637604971673
"289","AC","5","PM40","1",1116.7441205464
"290","AC","5","PM41","1",1097.47204766809
"291","AC","5","MASS","1",1067.38725185597
"292","AC","5","PM42","1",720.743993800052
"293","AC","5","PM43","1",686.426508587931
"294","AC","5","PM44","1",786.748960826301
"295","AC","5","PM45","1",705.891669306303
"296","AC","5","MILE","1",808.295635727996
"297","AC","5","PM46","1",925.843305360509
"298","AC","5","PM47","1",1022.54138585356
"299","AC","5","ARUA","1",301.687158397039
"300","AC","5","PM39","2",1205.3492484527
"301","AC","5","PM33","2",995.532149927267
"302","AC","5","PM41","2",996.202003855584
"303","AC","5","PM37","2",841.855598564443
"304","AC","5","PM45","2",703.523374017173
"305","AC","5","PM36","2",1066.36341260477
"306","AC","5","MOMB","2",756.547890970002
"307","AC","5","PM31","2",1070.67486648325
"308","AC","5","PM47","2",899.535273994707
"309","AC","5","PM43","2",613.230967082873
"310","AC","5","PM35","2",1265.57533242165
"311","AC","5","PM30","2",1139.39895130832
"312","AC","5","PM42","2",985.683467346539
"313","AC","5","PM38","2",791.01605213664
"314","AC","5","PM46","2",959.411488793479
"315","AC","5","TANZ","2",838.834008097166
"316","AC","5","PM44","2",934.207953063885
"317","AC","5","PM40","2",1366.77075201665
"318","AC","5","PM32","2",969.051166699092
"319","AC","5","PM34","2",1021.33337646374
"320","AC","5","MILE","2",834.498518211671
"321","AC","5","MASS","2",1317.14396071291
"322","AC","5","ARUA","2",543.845745154149
"323","AC","5","PM39","3",1109.38951917882
"324","AC","5","PM35","3",824.571262330292
"325","AC","5","PM30","3",704.842878490058
"326","AC","5","PM44","3",869.390104983217
"327","AC","5","PM36","3",1309.40972153042
"328","AC","5","PM31","3",1086.56831869164
"329","AC","5","PM47","3",904.334072528046
"330","AC","5","PM43","3",714.993679293029
"331","AC","5","PM38","3",703.653018333214
"332","AC","5","PM40","3",842.334322453017
"333","AC","5","MASS","3",1194.53149009375
"334","AC","5","PM46","3",654.303245599871
"335","AC","5","TANZ","3",679.165426710313
"336","AC","5","MILE","3",666.490361087679
"337","AC","5","PM45","3",750.51618091326
"338","AC","5","PM32","3",962.566101630337
"339","AC","5","PM37","3",906.585981766423
"340","AC","5","PM42","3",837.478281469462
"341","AC","5","PM33","3",1084.87837777601
"342","AC","5","MOMB","3",697.897830018083
"343","AC","5","PM34","3",697.140132427365
"344","AC","5","PM41","3",861.340536616547
"345","AC","5","ARUA","3",609.926535251799
"346","AC","6","PM30","1",1175.01327115759
"347","AC","6","PM31","1",1193.34296569808
"348","AC","6","PM32","1",1368.38206795241
"349","AC","6","PM33","1",1273.65280088813
"350","AC","6","MOMB","1",1274.28829643019
"351","AC","6","PM34","1",991.015923934124
"352","AC","6","PM35","1",1006.36647589533
"353","AC","6","PM36","1",1541.35988562437
"354","AC","6","PM37","1",783.883954246278
"355","AC","6","TANZ","1",1068.30988236069
"356","AC","6","PM38","1",999.86071445243
"357","AC","6","PM39","1",1202.7696649493
"358","AC","6","PM40","1",1836.50728263593
"359","AC","6","PM41","1",1488.92688684488
"360","AC","6","MASS","1",1652.65827270412
"361","AC","6","PM42","1",1101.62813415825
"362","AC","6","PM43","1",808.914934410931
"363","AC","6","PM44","1",1005.60173865797
"364","AC","6","PM45","1",912.757973733583
"365","AC","6","MILE","1",1375.62665639522
"366","AC","6","PM46","1",1224.42984755953
"367","AC","6","PM47","1",1231.76962378077
"368","AC","6","ARUA","1",343.463593112811
"369","AC","6","PM39","2",1735.0339504198
"370","AC","6","PM33","2",1408.90022773376
"371","AC","6","PM41","2",1525.54720505457
"372","AC","6","PM37","2",1041.42312579415
"373","AC","6","PM45","2",872.528388258815
"374","AC","6","PM36","2",1232.4623435468
"375","AC","6","MOMB","2",1198.20247686363
"376","AC","6","PM31","2",1321.63252995187
"377","AC","6","PM47","2",1187.22819867246
"378","AC","6","PM43","2",831.882025827302
"379","AC","6","PM35","2",1572.63088059846
"380","AC","6","PM30","2",1743.97291287649
"381","AC","6","PM42","2",1312.46055383219
"382","AC","6","PM38","2",1217.88671254738
"383","AC","6","PM46","2",1499.44907438614
"384","AC","6","TANZ","2",1234.72034643171
"385","AC","6","PM44","2",1330.14139488529
"386","AC","6","PM40","2",1782.58831736481
"387","AC","6","PM32","2",1643.95437781093
"388","AC","6","PM34","2",1352.46913580247
"389","AC","6","MILE","2",1284.51665107926
"390","AC","6","MASS","2",1660.1683730451
"391","AC","6","ARUA","2",439.704155015901
"392","AC","6","PM39","3",1559.1620626151
"393","AC","6","PM35","3",1057.85656212366
"394","AC","6","PM30","3",1244.76305908654
"395","AC","6","PM44","3",1106.63543591097
"396","AC","6","PM36","3",1709.33550860812
"397","AC","6","PM31","3",1343.13405205271
"398","AC","6","PM47","3",1122.24527654119
"399","AC","6","PM43","3",999.786493369999
"400","AC","6","PM38","3",848.306543821346
"401","AC","6","PM40","3",1184.05325542017
"402","AC","6","MASS","3",1579.85352691764
"403","AC","6","PM46","3",1193.10480306453
"404","AC","6","TANZ","3",988.602941176471
"405","AC","6","MILE","3",1197.4600182608
"406","AC","6","PM45","3",860.400273314378
"407","AC","6","PM32","3",1614.35366793132
"408","AC","6","PM37","3",915.337524097909
"409","AC","6","PM42","3",1264.6050861572
"410","AC","6","PM33","3",1268.28000205806
"411","AC","6","MOMB","3",1115.61938958707
"412","AC","6","PM34","3",902.044605652352
"413","AC","6","PM41","3",1353.23301408814
"414","AC","6","ARUA","3",716.225414099844
"415","AC","7","PM30","1",2171.45258497799
"416","AC","7","PM31","1",1957.42075585908
"417","AC","7","PM32","1",1693.88814792646
"418","AC","7","PM33","1",1601.71762065487
"419","AC","7","MOMB","1",1844.2650866332
"420","AC","7","PM34","1",1338.33910181418
"421","AC","7","PM35","1",1398.82243528012
"422","AC","7","PM36","1",1879.75101269917
"423","AC","7","PM37","1",1438.24272529765
"424","AC","7","TANZ","1",1775.9357355719
"425","AC","7","PM38","1",1475.54502346054
"426","AC","7","PM39","1",1752.47934898033
"427","AC","7","PM40","1",2288.62447594011
"428","AC","7","PM41","1",2406.73402015585
"429","AC","7","MASS","1",2257.92096908954
"430","AC","7","PM42","1",1838.41692631127
"431","AC","7","PM43","1",851.093549742355
"432","AC","7","PM44","1",1944.74208826868
"433","AC","7","PM45","1",1196.34322373697
"434","AC","7","MILE","1",1833.17148439083
"435","AC","7","PM46","1",2011.12547161821
"436","AC","7","PM47","1",2233.68701796887
"437","AC","7","ARUA","1",343.234909432583
"438","AC","7","PM39","2",2269.42665338198
"439","AC","7","PM33","2",1995.4239234871
"440","AC","7","PM41","2",1981.42810921598
"441","AC","7","PM37","2",1524.94232740825
"442","AC","7","PM45","2",1123.50467746667
"443","AC","7","PM36","2",1638.36414110035
"444","AC","7","MOMB","2",1682.0496858675
"445","AC","7","PM31","2",2045.11946071282
"446","AC","7","PM47","2",1727.93957292886
"447","AC","7","PM43","2",977.287797495069
"448","AC","7","PM35","2",2219.66515946726
"449","AC","7","PM30","2",2188.04297684007
"450","AC","7","PM42","2",2233.89438060783
"451","AC","7","PM38","2",1353.95236948662
"452","AC","7","PM46","2",2204.59861318374
"453","AC","7","TANZ","2",2014.12790186222
"454","AC","7","PM44","2",1653.04450716186
"455","AC","7","PM40","2",2528.61756565899
"456","AC","7","PM32","2",2639.98939273402
"457","AC","7","PM34","2",2089.40482690563
"458","AC","7","MILE","2",1757.28947472684
"459","AC","7","MASS","2",2830.08678881389
"460","AC","7","ARUA","2",608.917450180042
"461","AC","7","PM39","3",2142.2756872705
"462","AC","7","PM35","3",1471.39211112641
"463","AC","7","PM30","3",1882.76364520831
"464","AC","7","PM44","3",1785.19192438201
"465","AC","7","PM36","3",1917.29363972943
"466","AC","7","PM31","3",2341.28506275149
"467","AC","7","PM47","3",2039.85066229261
"468","AC","7","PM43","3",1011.94403657625
"469","AC","7","PM38","3",1337.50438365055
"470","AC","7","PM40","3",1901.8867119136
"471","AC","7","MASS","3",2493.78085064943
"472","AC","7","PM46","3",1539.47452092142
"473","AC","7","TANZ","3",1820.59087019334
"474","AC","7","MILE","3",1634.93639147334
"475","AC","7","PM45","3",1376.69829883925
"476","AC","7","PM32","3",2235.85034220146
"477","AC","7","PM37","3",1537.45350234147
"478","AC","7","PM42","3",1635.36026549107
"479","AC","7","PM33","3",1759.09633709453
"480","AC","7","MOMB","3",1704.30496253563
"481","AC","7","PM34","3",1677.61583481234
"482","AC","7","PM41","3",2161.44144112339
"483","AC","7","ARUA","3",766.769594855634
"484","AC","8","PM30","1",2166.25864639059
"485","AC","8","PM31","1",1824.60515491218
"486","AC","8","PM32","1",2542.88388084321
"487","AC","8","PM33","1",1829.31495246599
"488","AC","8","MOMB","1",1855.22667533159
"489","AC","8","PM34","1",1496.03206311602
"490","AC","8","PM35","1",1558.76729812119
"491","AC","8","PM36","1",1658.59839063643
"492","AC","8","PM37","1",1127.76540137245
"493","AC","8","TANZ","1",1958.32146242261
"494","AC","8","PM38","1",994.554149421102
"495","AC","8","PM39","1",2097.2420277623
"496","AC","8","PM40","1",2092.55384414743
"497","AC","8","PM41","1",2269.65669612815
"498","AC","8","MASS","1",1584.26102202413
"499","AC","8","PM42","1",1745.42531655619
"500","AC","8","PM43","1",1209.03036582314
"501","AC","8","PM44","1",1861.28153159018
"502","AC","8","PM45","1",1480.09675040132
"503","AC","8","MILE","1",2188.4243056413
"504","AC","8","PM46","1",1840.63016664901
"505","AC","8","PM47","1",2353.35626581078
"506","AC","8","ARUA","1",369.702317037972
"507","AC","8","PM39","2",2157.86578749637
"508","AC","8","PM33","2",2122.28190391553
"509","AC","8","PM41","2",2412.49607687053
"510","AC","8","PM37","2",1437.97518614335
"511","AC","8","PM45","2",1805.86863031746
"512","AC","8","PM36","2",1426.24417743817
"513","AC","8","MOMB","2",2227.14530875168
"514","AC","8","PM31","2",1495.16254337845
"515","AC","8","PM47","2",1617.18280165762
"516","AC","8","PM43","2",1095.78242982997
"517","AC","8","PM35","2",3126.61525730789
"518","AC","8","PM30","2",2178.78611058877
"519","AC","8","PM42","2",3034.65586414335
"520","AC","8","PM38","2",1531.95625800776
"521","AC","8","PM46","2",2234.20471180658
"522","AC","8","TANZ","2",2378.30490060489
"523","AC","8","PM44","2",1672.38713759573
"524","AC","8","PM40","2",2751.42358775413
"525","AC","8","PM32","2",3067.58976189652
"526","AC","8","PM34","2",1791.01871767333
"527","AC","8","MILE","2",1983.28759141994
"528","AC","8","MASS","2",1394.09924128846
"529","AC","8","ARUA","2",435.441542134684
"530","AC","8","PM39","3",1805.74486283148
"531","AC","8","PM35","3",2173.4663547001
"532","AC","8","PM30","3",2393.75115070097
"533","AC","8","PM44","3",1685.41351572085
"534","AC","8","PM36","3",2592.84751414232
"535","AC","8","PM31","3",1372.20558465204
"536","AC","8","PM47","3",1992.61646994428
"537","AC","8","PM43","3",1036.54655203144
"538","AC","8","PM38","3",903.645792098221
"539","AC","8","PM40","3",2168.53362869375
"540","AC","8","MASS","3",1351.44605284076
"541","AC","8","PM46","3",1893.58530768771
"542","AC","8","TANZ","3",2266.44164100189
"543","AC","8","MILE","3",1943.33998945957
"544","AC","8","PM45","3",1389.99910516214
"545","AC","8","PM32","3",2060.23984957504
"546","AC","8","PM37","3",1467.52059929872
"547","AC","8","PM42","3",2240.23603381206
"548","AC","8","PM33","3",1996.46395487744
"549","AC","8","MOMB","3",2032.70988819023
"550","AC","8","PM34","3",1628.84335712385
"551","AC","8","PM41","3",1831.31924006627
"552","AC","8","ARUA","3",598.6799539994
"553","AC","9","PM30","1",2077.92526330772
"554","AC","9","PM31","1",1548.58231173721
"555","AC","9","PM32","1",2256.32454465951
"556","AC","9","PM33","1",2048.39475893765
"557","AC","9","MOMB","1",2000.75760857626
"558","AC","9","PM34","1",2006.51369339124
"559","AC","9","PM35","1",1899.47435263555
"560","AC","9","PM36","1",1843.54282737461
"561","AC","9","PM37","1",1393.87588783429
"562","AC","9","TANZ","1",1646.14365154598
"563","AC","9","PM38","1",1062.1325538421
"564","AC","9","PM39","1",1994.36788617402
"565","AC","9","PM40","1",2283.00177591723
"566","AC","9","PM41","1",2699.01394845388
"567","AC","9","MASS","1",2295.62732842098
"568","AC","9","PM42","1",2172.60446257984
"569","AC","9","PM43","1",1005.66444318305
"570","AC","9","PM44","1",1763.66701784974
"571","AC","9","PM45","1",2083.94720740705
"572","AC","9","MILE","1",1699.88185872099
"573","AC","9","PM46","1",2302.85728336236
"574","AC","9","PM47","1",2506.84250709036
"575","AC","9","ARUA","1",98.8455983911374
"576","AC","9","PM39","2",2609.07784432695
"577","AC","9","PM33","2",2083.2584286478
"578","AC","9","PM41","2",2647.85414859219
"579","AC","9","PM37","2",1557.98701077433
"580","AC","9","PM45","2",2063.25219956497
"581","AC","9","PM36","2",1785.46192694236
"582","AC","9","MOMB","2",2217.582849828
"583","AC","9","PM31","2",1736.03319125294
"584","AC","9","PM47","2",2129.0925124375
"585","AC","9","PM43","2",964.091918157107
"586","AC","9","PM35","2",2398.10293241351
"587","AC","9","PM30","2",1534.12418407245
"588","AC","9","PM42","2",1917.25134450068
"589","AC","9","PM38","2",1429.15995379666
"590","AC","9","PM46","2",2628.94556079945
"591","AC","9","TANZ","2",2392.34655532094
"592","AC","9","PM44","2",2092.06849039321
"593","AC","9","PM40","2",2737.67023385121
"594","AC","9","PM32","2",2661.40772961722
"595","AC","9","PM34","2",2128.57643180796
"596","AC","9","MILE","2",2074.89364832457
"597","AC","9","MASS","2",2641.17943487925
"598","AC","9","ARUA","2",425.945112235692
"599","AC","9","PM39","3",2380.89974595289
"600","AC","9","PM35","3",1771.73654304269
"601","AC","9","PM30","3",1942.88754929049
"602","AC","9","PM44","3",1509.00276513436
"603","AC","9","PM36","3",1899.21376522879
"604","AC","9","PM31","3",2656.6596863207
"605","AC","9","PM47","3",2708.03157139488
"606","AC","9","PM43","3",1556.10838432058
"607","AC","9","PM38","3",1140.92985905067
"608","AC","9","PM40","3",2511.44508323407
"609","AC","9","MASS","3",2721.69116053236
"610","AC","9","PM46","3",2183.6293877052
"611","AC","9","TANZ","3",2424.61986403425
"612","AC","9","MILE","3",1352.21773940698
"613","AC","9","PM45","3",2566.15486867746
"614","AC","9","PM32","3",2492.12572535165
"615","AC","9","PM37","3",2043.06960575904
"616","AC","9","PM42","3",2760.87017357866
"617","AC","9","PM33","3",2799.3567779513
"618","AC","9","MOMB","3",2639.89230368778
"619","AC","9","PM34","3",2348.95592356761
"620","AC","9","PM41","3",2446.44207376953
"621","AC","9","ARUA","3",520.581745126946
"622","AC","10","PM30","1",800.749473268044
"623","AC","10","PM31","1",1125.33962371462
"624","AC","10","PM32","1",1453.67623880894
"625","AC","10","PM33","1",1316.33969678969
"626","AC","10","MOMB","1",1203.38595818914
