local,gen,block,peso,corte
AC,PM31,3,2341.285062751491,7
AC,PM47,3,2039.850662292609,7
AC,PM43,3,1011.944036576251,7
AC,PM38,3,1337.5043836505545,7
AC,PM40,3,1901.8867119136041,7
AC,MASS,3,2493.7808506494252,7
AC,PM46,3,1539.4745209214236,7
AC,TANZ,3,1820.5908701933365,7
AC,MILE,3,1634.9363914733358,7
AC,PM45,3,1376.6982988392474,7
AC,PM32,3,2235.8503422014574,7
AC,PM37,3,1537.4535023414705,7
AC,PM42,3,1635.360265491068,7
AC,PM33,3,1759.0963370945337,7
AC,MOMB,3,1704.3049625356266,7
AC,PM34,3,1677.6158348123392,7
AC,PM41,3,2161.4414411233893,7
AC,ARUA,3,766.769594855634,7
AC,PM30,1,2166.2586463905855,8
AC,PM31,1,1824.6051549121769,8
AC,PM32,1,2542.8838808432065,8
AC,PM33,1,1829.3149524659934,8
AC,MOMB,1,1855.2266753315882,8
AC,PM34,1,1496.03206311602,8
AC,PM35,1,1558.7672981211942,8
AC,PM36,1,1658.5983906364302,8
AC,PM37,1,1127.7654013724489,8
AC,TANZ,1,1958.3214624226105,8
AC,PM38,1,994.5541494211022,8
AC,PM39,1,2097.2420277623046,8
AC,PM40,1,2092.553844147433,8
AC,PM41,1,2269.6566961281524,8
AC,MASS,1,1584.26102202413,8
AC,PM42,1,1745.4253165561865,8
AC,PM43,1,1209.0303658231405,8
AC,PM44,1,1861.2815315901776,8
AC,PM45,1,1480.0967504013188,8
AC,MILE,1,2188.4243056412975,8
AC,PM46,1,1840.6301666490076,8
AC,PM47,1,2353.356265810785,8
AC,ARUA,1,369.7023170379718,8
AC,PM39,2,2157.8657874963656,8
AC,PM33,2,2122.2819039155274,8
AC,PM41,2,2412.496076870526,8
AC,PM37,2,1437.9751861433472,8
AC,PM45,2,1805.8686303174638,8
AC,PM36,2,1426.244177438173,8
AC,MOMB,2,2227.1453087516766,8
AC,PM31,2,1495.162543378452,8
AC,PM47,2,1617.1828016576223,8
AC,PM43,2,1095.782429829966,8
AC,PM35,2,3126.615257307889,8
AC,PM30,2,2178.786110588766,8
AC,PM42,2,3034.6558641433458,8
AC,PM38,2,1531.9562580077563,8
AC,PM46,2,2234.204711806576,8
AC,TANZ,2,2378.3049006048936,8
AC,PM44,2,1672.3871375957306,8
AC,PM40,2,2751.423587754132,8
AC,PM32,2,3067.589761896524,8
AC,PM34,2,1791.018717673334,8
AC,MILE,2,1983.2875914199417,8
AC,MASS,2,1394.0992412884575,8
AC,ARUA,2,435.4415421346844,8
AC,PM39,3,1805.7448628314814,8
AC,PM35,3,2173.4663547001005,8
AC,PM30,3,2393.7511507009713,8
AC,PM44,3,1685.4135157208502,8
AC,PM36,3,2592.8475141423196,8
AC,PM31,3,1372.2055846520361,8
AC,PM47,3,1992.6164699442847,8
AC,PM43,3,1036.5465520314444,8
AC,PM38,3,903.64579209822125,8
AC,PM40,3,2168.533628693754,8
AC,MASS,3,1351.44605284076,8
AC,PM46,3,1893.5853076877058,8
AC,TANZ,3,2266.4416410018907,8
AC,MILE,3,1943.3399894595748,8
AC,PM45,3,1389.9991051621414,8
AC,PM32,3,2060.239849575043,8
AC,PM37,3,1467.5205992987237,8
AC,PM42,3,2240.236033812055,8
AC,PM33,3,1996.4639548774396,8
AC,MOMB,3,2032.7098881902264,8
AC,PM34,3,1628.8433571238527,8
AC,PM41,3,1831.3192400662736,8
AC,ARUA,3,598.6799539994005,8
AC,PM30,1,2077.9252633077203,9
AC,PM31,1,1548.5823117372115,9
AC,PM32,1,2256.3245446595115,9
AC,PM33,1,2048.394758937646,9
AC,MOMB,1,2000.7576085762607,9
AC,PM34,1,2006.5136933912374,9
AC,PM35,1,1899.4743526355521,9
AC,PM36,1,1843.5428273746102,9
AC,PM37,1,1393.875887834286,9
AC,TANZ,1,1646.143651545981,9
AC,PM38,1,1062.1325538420979,9
AC,PM39,1,1994.3678861740202,9
AC,PM40,1,2283.0017759172274,9
AC,PM41,1,2699.0139484538754,9
AC,MASS,1,2295.6273284209838,9
AC,PM42,1,2172.604462579837,9
AC,PM43,1,1005.664443183049,9
AC,PM44,1,1763.6670178497388,9
AC,PM45,1,2083.9472074070495,9
AC,MILE,1,1699.8818587209876,9
AC,PM46,1,2302.8572833623643,9
AC,PM47,1,2506.842507090356,9
AC,ARUA,1,98.84559839113741,9
AC,PM39,2,2609.0778443269487,9
AC,PM33,2,2083.2584286477995,9
AC,PM41,2,2647.854148592189,9
AC,PM37,2,1557.9870107743252,9
AC,PM45,2,2063.2521995649654,9
AC,PM36,2,1785.4619269423606,9
AC,MOMB,2,2217.5828498279984,9
AC,PM31,2,1736.033191252935,9
AC,PM47,2,2129.092512437504,9
AC,PM43,2,964.0919181571071,9
AC,PM35,2,2398.102932413506,9
AC,PM30,2,1534.124184072453,9
AC,PM42,2,1917.2513445006794,9
AC,PM38,2,1429.1599537966633,9
AC,PM46,2,2628.9455607994482,9
AC,TANZ,2,2392.346555320943,9
AC,PM44,2,2092.0684903932124,9
AC,PM40,2,2737.670233851206,9
AC,PM32,2,2661.4077296172177,9
AC,PM34,2,2128.576431807962,9
AC,MILE,2,2074.893648324572,9
AC,MASS,2,2641.179434879247,9
AC,ARUA,2,425.9451122356921,9
AC,PM39,3,2380.8997459528946,9
AC,PM35,3,1771.7365430426871,9
AC,PM30,3,1942.887549290492,9
AC,PM44,3,1509.0027651343648,9
AC,PM36,3,1899.213765228789,9
AC,PM31,3,2656.6596863207033,9
AC,PM47,3,2708.031571394882,9
AC,PM43,3,1556.1083843205809,9
AC,PM38,3,1140.929859050668,9
AC,PM40,3,2511.445083234071,9
AC,MASS,3,2721.6911605323626,9
AC,PM46,3,2183.6293877052008,9
AC,TANZ,3,2424.619864034251,9
AC,MILE,3,1352.2177394069793,9
AC,PM45,3,2566.154868677458,9
AC,PM32,3,2492.1257253516496,9
AC,PM37,3,2043.0696057590421,9
AC,PM42,3,2760.870173578658,9
AC,PM33,3,2799.3567779513005,9
AC,MOMB,3,2639.892303687784,9
AC,PM34,3,2348.955923567608,9
AC,PM41,3,2446.4420737695295,9
AC,ARUA,3,520.5817451269456,9
AC,PM30,1,800.7494732680439,10
AC,PM31,1,1125.3396237146198,10
AC,PM32,1,1453.6762388089403,10
AC,PM33,1,1316.3396967896888,10
AC,MOMB,1,1203.3859581891381,10
AC,PM34,1,1049.313799441762,10
AC,PM35,1,810.6416381172105,10
AC,PM36,1,1006.74758222864,10
AC,PM37,1,1139.385496530838,10
AC,TANZ,1,936.092706915345,10
AC,PM38,1,801.6848548683466,10
AC,PM39,1,996.1976736586812,10
AC,PM40,1,1122.3828052414835,10
AC,PM41,1,1043.0098217160225,10
AC,MASS,1,1408.1026182835722,10
AC,PM42,1,759.7393158897917,10
AC,PM43,1,542.6391495416956,10
AC,PM44,1,1080.915647815699,10
AC,PM45,1,1119.5422699123437,10
AC,MILE,1,1128.0294271010453,10
AC,PM46,1,1332.1451835172975,10
AC,PM47,1,1337.7304879740495,10
AC,ARUA,1,260.1958560631503,10
AC,PM39,2,1152.28341677152,10
AC,PM33,2,1194.12064958337,10
AC,PM41,2,946.6126227693665,10
AC,PM37,2,1135.7105213270202,10
AC,PM45,2,1162.8874811907406,10
AC,PM36,2,815.7917930394917,10
AC,MOMB,2,957.0837492957468,10
AC,PM31,2,1251.8389896295187,10
AC,PM47,2,1097.9072302598145,10
AC,PM43,2,576.0025537640076,10
AC,PM35,2,883.3600043013125,10
AC,PM30,2,1096.2594418914769,10
AC,PM42,2,998.418747734809,10
AC,PM38,2,922.3951289647298,10
AC,PM46,2,1455.436170302629,10
AC,TANZ,2,826.8825290019311,10
AC,PM44,2,1323.8615794483987,10
AC,PM40,2,1559.6750829015887,10
AC,PM32,2,1960.9546753892753,10
AC,PM34,2,903.5154529384887,10
AC,MILE,2,864.51331510162845,10
AC,MASS,2,1696.9029293111882,10
AC,ARUA,2,657.8704506817471,10
AC,PM39,3,1208.7255048029842,10
AC,PM35,3,880.0839112655251,10
AC,PM30,3,771.1402590829503,10
AC,PM44,3,1155.1900606117174,10
AC,PM36,3,769.6268938070156,10
AC,PM31,3,1242.6482143994733,10
AC,PM47,3,1054.9980472354441,10
AC,PM43,3,662.1247736834445,10
AC,PM38,3,664.7798919882057,10
AC,PM40,3,1048.5037925772237,10
AC,MASS,3,1348.1317815158657,10
AC,PM46,3,1189.463841336657,10
AC,TANZ,3,926.1256400279282,10
AC,MILE,3,782.8569935033206,10
AC,PM45,3,1305.280928874081,10
AC,PM32,3,1735.1486708600671,10
AC,PM37,3,1432.064835949347,10
AC,PM42,3,922.4869432044503,10
AC,PM33,3,1132.9894487255274,10
AC,MOMB,3,1130.6686766778066,10
AC,PM34,3,854.2769690164546,10
AC,PM41,3,1010.3500499670303,10
AC,ARUA,3,646.7873559801127,10
AC,PM30,1,531.9874807519394,11
AC,PM31,1,570.9461453058772,11
AC,PM32,1,401.94278066912085,11
AC,PM33,1,526.2647578966221,11
AC,MOMB,1,536.69048673292,11
AC,PM34,1,553.8192524015221,11
AC,PM35,1,363.27442114004714,11
AC,PM36,1,381.12177708620555,11
AC,PM37,1,479.08379572982193,11
AC,TANZ,1,489.7620156804291,11
AC,PM38,1,506.3479949257109,11
AC,PM39,1,632.2778483537719,11
AC,PM40,1,641.9385599272796,11
AC,PM41,1,690.8085702839977,11
AC,MASS,1,669.067034882817,11
AC,PM42,1,410.59929417909933,11
AC,PM43,1,270.94138498460666,11
AC,PM44,1,471.1141202891749,11
AC,PM45,1,368.67408415757177,11
AC,MILE,1,500.06501464725596,11
AC,PM46,1,552.6658473248152,11
AC,PM47,1,566.0333078924716,11
