local,corte,gen,block,peso
AC,7,ARUA,1,343.23490943258315
AC,7,PM39,2,2269.426653381977
AC,7,PM33,2,1995.4239234871034
AC,7,PM41,2,1981.428109215977
AC,7,PM37,2,1524.94232740825
AC,7,PM45,2,1123.504677466671
AC,7,PM36,2,1638.3641411003543
AC,7,MOMB,2,1682.049685867495
AC,7,PM31,2,2045.1194607128223
AC,7,PM47,2,1727.9395729288578
AC,7,PM43,2,977.2877974950688
AC,7,PM35,2,2219.665159467258
AC,7,PM30,2,2188.0429768400654
AC,7,PM42,2,2233.894380607826
AC,7,PM38,2,1353.952369486616
AC,7,PM46,2,2204.598613183739
AC,7,TANZ,2,2014.1279018622197
AC,7,PM44,2,1653.0445071618628
AC,7,PM40,2,2528.617565658988
AC,7,PM32,2,2639.989392734022
AC,7,PM34,2,2089.4048269056307
AC,7,MILE,2,1757.289474726842
AC,7,MASS,2,2830.0867888138864
AC,7,ARUA,2,608.9174501800422
AC,7,PM39,3,2142.275687270505
AC,7,PM35,3,1471.3921111264135
AC,7,PM30,3,1882.7636452083084
AC,7,PM44,3,1785.1919243820098
AC,7,PM36,3,1917.2936397294254
AC,7,PM31,3,2341.285062751491
AC,7,PM47,3,2039.850662292609
AC,7,PM43,3,1011.944036576251
AC,7,PM38,3,1337.5043836505545
AC,7,PM40,3,1901.8867119136041
AC,7,MASS,3,2493.7808506494252
AC,7,PM46,3,1539.4745209214236
AC,7,TANZ,3,1820.5908701933365
AC,7,MILE,3,1634.9363914733358
AC,7,PM45,3,1376.6982988392474
AC,7,PM32,3,2235.8503422014574
AC,7,PM37,3,1537.4535023414705
AC,7,PM42,3,1635.360265491068
AC,7,PM33,3,1759.0963370945337
AC,7,MOMB,3,1704.3049625356266
AC,7,PM34,3,1677.6158348123392
AC,7,PM41,3,2161.4414411233893
AC,7,ARUA,3,766.769594855634
AC,8,PM30,1,2166.2586463905855
AC,8,PM31,1,1824.6051549121769
AC,8,PM32,1,2542.8838808432065
AC,8,PM33,1,1829.3149524659934
AC,8,MOMB,1,1855.2266753315882
AC,8,PM34,1,1496.03206311602
AC,8,PM35,1,1558.7672981211942
AC,8,PM36,1,1658.5983906364302
AC,8,PM37,1,1127.7654013724489
AC,8,TANZ,1,1958.3214624226105
AC,8,PM38,1,994.5541494211022
AC,8,PM39,1,2097.2420277623046
AC,8,PM40,1,2092.553844147433
AC,8,PM41,1,2269.6566961281524
AC,8,MASS,1,1584.26102202413
AC,8,PM42,1,1745.4253165561865
AC,8,PM43,1,1209.0303658231405
AC,8,PM44,1,1861.2815315901776
AC,8,PM45,1,1480.0967504013188
AC,8,MILE,1,2188.4243056412975
AC,8,PM46,1,1840.6301666490076
AC,8,PM47,1,2353.356265810785
AC,8,ARUA,1,369.7023170379718
AC,8,PM39,2,2157.8657874963656
AC,8,PM33,2,2122.2819039155274
AC,8,PM41,2,2412.496076870526
AC,8,PM37,2,1437.9751861433472
AC,8,PM45,2,1805.8686303174638
AC,8,PM36,2,1426.244177438173
AC,8,MOMB,2,2227.1453087516766
AC,8,PM31,2,1495.162543378452
AC,8,PM47,2,1617.1828016576223
AC,8,PM43,2,1095.782429829966
AC,8,PM35,2,3126.615257307889
AC,8,PM30,2,2178.786110588766
AC,8,PM42,2,3034.6558641433458
AC,8,PM38,2,1531.9562580077563
AC,8,PM46,2,2234.204711806576
AC,8,TANZ,2,2378.3049006048936
AC,8,PM44,2,1672.3871375957306
AC,8,PM40,2,2751.423587754132
AC,8,PM32,2,3067.589761896524
AC,8,PM34,2,1791.018717673334
AC,8,MILE,2,1983.2875914199417
AC,8,MASS,2,1394.0992412884575
AC,8,ARUA,2,435.4415421346844
AC,8,PM39,3,1805.7448628314814
AC,8,PM35,3,2173.4663547001005
AC,8,PM30,3,2393.7511507009713
AC,8,PM44,3,1685.4135157208502
AC,8,PM36,3,2592.8475141423196
AC,8,PM31,3,1372.2055846520361
AC,8,PM47,3,1992.6164699442847
AC,8,PM43,3,1036.5465520314444
AC,8,PM38,3,903.64579209822125
AC,8,PM40,3,2168.533628693754
AC,8,MASS,3,1351.44605284076
AC,8,PM46,3,1893.5853076877058
AC,8,TANZ,3,2266.4416410018907
AC,8,MILE,3,1943.3399894595748
AC,8,PM45,3,1389.9991051621414
AC,8,PM32,3,2060.239849575043
AC,8,PM37,3,1467.5205992987237
AC,8,PM42,3,2240.236033812055
AC,8,PM33,3,1996.4639548774396
AC,8,MOMB,3,2032.7098881902264
AC,8,PM34,3,1628.8433571238527
AC,8,PM41,3,1831.3192400662736
AC,8,ARUA,3,598.6799539994005
AC,9,PM30,1,2077.9252633077203
AC,9,PM31,1,1548.5823117372115
AC,9,PM32,1,2256.3245446595115
AC,9,PM33,1,2048.394758937646
AC,9,MOMB,1,2000.7576085762607
AC,9,PM34,1,2006.5136933912374
AC,9,PM35,1,1899.4743526355521
AC,9,PM36,1,1843.5428273746102
AC,9,PM37,1,1393.875887834286
AC,9,TANZ,1,1646.143651545981
AC,9,PM38,1,1062.1325538420979
AC,9,PM39,1,1994.3678861740202
AC,9,PM40,1,2283.0017759172274
AC,9,PM41,1,2699.0139484538754
AC,9,MASS,1,2295.6273284209838
AC,9,PM42,1,2172.604462579837
AC,9,PM43,1,1005.664443183049
AC,9,PM44,1,1763.6670178497388
AC,9,PM45,1,2083.9472074070495
AC,9,MILE,1,1699.8818587209876
AC,9,PM46,1,2302.8572833623643
AC,9,PM47,1,2506.842507090356
AC,9,ARUA,1,98.84559839113741
AC,9,PM39,2,2609.0778443269487
AC,9,PM33,2,2083.2584286477995
AC,9,PM41,2,2647.854148592189
AC,9,PM37,2,1557.9870107743252
AC,9,PM45,2,2063.2521995649654
AC,9,PM36,2,1785.4619269423606
AC,9,MOMB,2,2217.5828498279984
AC,9,PM31,2,1736.033191252935
AC,9,PM47,2,2129.092512437504
AC,9,PM43,2,964.0919181571071
AC,9,PM35,2,2398.102932413506
AC,9,PM30,2,1534.124184072453
AC,9,PM42,2,1917.2513445006794
AC,9,PM38,2,1429.1599537966633
AC,9,PM46,2,2628.9455607994482
AC,9,TANZ,2,2392.346555320943
AC,9,PM44,2,2092.0684903932124
AC,9,PM40,2,2737.670233851206
AC,9,PM32,2,2661.4077296172177
AC,9,PM34,2,2128.576431807962
AC,9,MILE,2,2074.893648324572
AC,9,MASS,2,2641.179434879247
AC,9,ARUA,2,425.9451122356921
AC,9,PM39,3,2380.8997459528946
AC,9,PM35,3,1771.7365430426871
AC,9,PM30,3,1942.887549290492
AC,9,PM44,3,1509.0027651343648
AC,9,PM36,3,1899.213765228789
AC,9,PM31,3,2656.6596863207033
AC,9,PM47,3,2708.031571394882
AC,9,PM43,3,1556.1083843205809
AC,9,PM38,3,1140.929859050668
AC,9,PM40,3,2511.445083234071
AC,9,MASS,3,2721.6911605323626
AC,9,PM46,3,2183.6293877052008
AC,9,TANZ,3,2424.619864034251
AC,9,MILE,3,1352.2177394069793
AC,9,PM45,3,2566.154868677458
AC,9,PM32,3,2492.1257253516496
AC,9,PM37,3,2043.0696057590421
AC,9,PM42,3,2760.870173578658
AC,9,PM33,3,2799.3567779513005
AC,9,MOMB,3,2639.892303687784
AC,9,PM34,3,2348.955923567608
AC,9,PM41,3,2446.4420737695295
AC,9,ARUA,3,520.5817451269456
AC,10,PM30,1,800.7494732680439
AC,10,PM31,1,1125.3396237146198
AC,10,PM32,1,1453.6762388089403
AC,10,PM33,1,1316.3396967896888
AC,10,MOMB,1,1203.3859581891381
AC,10,PM34,1,1049.313799441762
AC,10,PM35,1,810.6416381172105
AC,10,PM36,1,1006.74758222864
AC,10,PM37,1,1139.385496530838
AC,10,TANZ,1,936.092706915345
AC,10,PM38,1,801.6848548683466
AC,10,PM39,1,996.1976736586812
AC,10,PM40,1,1122.3828052414835
AC,10,PM41,1,1043.0098217160225
AC,10,MASS,1,1408.1026182835722
AC,10,PM42,1,759.7393158897917
AC,10,PM43,1,542.6391495416956
AC,10,PM44,1,1080.915647815699
AC,10,PM45,1,1119.5422699123437
AC,10,MILE,1,1128.0294271010453
AC,10,PM46,1,1332.1451835172975
AC,10,PM47,1,1337.7304879740495
AC,10,ARUA,1,260.1958560631503
AC,10,PM39,2,1152.28341677152
AC,10,PM33,2,1194.12064958337
AC,10,PM41,2,946.6126227693665
AC,10,PM37,2,1135.7105213270202
AC,10,PM45,2,1162.8874811907406
AC,10,PM36,2,815.7917930394917
AC,10,MOMB,2,957.0837492957468
AC,10,PM31,2,1251.8389896295187
AC,10,PM47,2,1097.9072302598145
AC,10,PM43,2,576.0025537640076
AC,10,PM35,2,883.3600043013125
AC,10,PM30,2,1096.2594418914769
AC,10,PM42,2,998.418747734809
